Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
453,Add more details to CHANGELOG.md about 1.6.1 changes. (#402),0.698369,Generating changelog for release-v2.19.0 from v2.18.1...,This quick/minor update will give us the ability to more accurately test schema attributes of TypeSet.,0
454,Merge pull request #160 from terraform-providers/f-make-website,0.5757588,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
455,Update labeled_issues.yml (#1550),0.63632697,"Update documentation and correct some errors (#1706, #1708)",,0
456,Transfer kubernetes provider website,0.7091682,  - kubernetes_service,,1
457,docs/kubernetes: Fix import docs (missing namespace) (#14832),0.70698726,Fix import ID syntax in manifest import docs,,1
458,backend.service.port.name in kubernetes_ingress_v1 should be type String  (#1541),0.9751448,Attribute backend.service.port.name in kubernetes_ingress_v1 should be type String  (#1541),,1
459,fix: add termination_message_policy to container schema (closes #442) (#847),0.9567332,Add termination_message_policy to container schema (#847),,1
460,Migrate to SDK 1.1.1,0.65313244,Bump provider SDK to v1.7.0," Update to Terraform SDK v2. Update import paths and functions to use Terraform SDKv2. Add support for testing multiple versions of the provider. Add allowed_topologies to the storageclass resource,   authored by Ilia Lazebnik in PR   https://github.com/hashicorp/terraform-provider-kubernetes/pull/910 Fix acceptance tests and add upgrade tests.",0
461,Update ROADMAP.md,0.5923772,* Update Terraform SDK to v2 (#1027) ,,0
462,Add test for patched flattenLabelSelector,0.5631951,Fix annotation diffs on affinity tests (#993),,0
463,r/service: Raise LB timeout to 10mins,0.61257255,* Add service timeouts docs (#963),,0
464,kubernetes: Add secret resource (#12960),0.8225589,Add kubernetes_resource data source (#1548),,1
465,Bump terraform-plugin-sdk to v2.4.4 (#1180),0.82445824,Update terraform-plugin-go and terraform-plugin-sdk (#1551),"Fix update description, it was missing a backtick.",1
466,Update Pod related documentation -- spec.container.resources (#1882),0.7265722,Add validations to container PodSpec (#1275),,1
467,Catch up internal annotations commits with latest master,0.5215781,* Add missing annotations (#1289),,0
468,add timeouts to pod resource,0.6607493,* Add service timeouts docs (#963),,0
469,Merge pull request #151 from appilon/91-k8s-pod-timeout,0.5662823,* Restructure service and ingress to match K8s API (#1071), Update changelog for v1.13.3,0
470,remove enabling experiment section (#1564),0.9982986,Remove enabling experiment section (#1564),Add support for readiness_gate on Pod spec,1
471,fix(provider): do not swallow client config errors (#780),0.7198275,* Add specific error message when failing to load provider config (#780),,1
472,Incorrect conversion between integer types (#1730),0.4712628,Fix type morphing of nested tuples that causes Failed to morph errors (#1756),,0
473,kubernetes: Use JSON patch for updating config_map,0.63225627,  - kubernetes_validating_webhook_configuration, Add azure managed disk to persistent volume resource Fix broken tests around volume expansion. Add Azure Managed Disk example. Add tests for Azure disk types. Add Custom Diff to help with Azure configuration. Update EKS test-infra to include region. Update cloud provider checks in acceptance tests.  This is a cherry-pick of work done by Pierre Chalamet in PR https://github.com/hashicorp/terraform-provider-kubernetes/pull/837 with some additional tests and fixes added. Solves https://github.com/hashicorp/terraform-provider-kubernetes/issues/202,0
474,Don't fail when unable to find default SA token secret (#1634),0.6449924,Fix fail when the provider cannot determine default_secret_name (#1634),,0
475,Update module hashicorp/terraform to v0.12.10 (#639),0.741127,* Update Terraform SDK to v2 (#1027) ,,1
476,Updated Kubernetes links (#626),0.7146261,Update kubernetes dependencies (#1574),,1
477,Bump Go version to 1.10 on Travis CI. (#196),0.6355839,Bump provider SDK to v1.7.0,,0
478,Add kubernetes_ingress_v1 timeouts (#1936),0.819687,resource/kubernetes_ingress_v1: add create and delete timeouts [GH-1936],Co-authored-by: Mathy Vanvoorden mathy@vanvoorden.be,1
479,Add an example for GKE + NFS + PVC (#840),0.6245084,* Add data source for Pod and PVC (#786),Acceptance tests have been updated based on results from running tfproviderlint. Partially solves  https://github.com/hashicorp/terraform-provider-kubernetes/issues/887,0
480,[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic (#1813),0.98067653,[TK-78009] Fix propagation of non-fatal Diagnostics in the type morphing logic, Update Go modules & dependencies. Refactor Kubernetes API calls to use contexts (required by client-go version). Add Azure provider to acceptance tests. Add Azure Go modules and dependencies. Updates Azure test-infra to the lastest version of the Azurerm provider.,1
481,Fix beta resources for v4 client-go,0.53861207,Update Go dependencies (#968),,0
482,Add support for aggregation_rule to cluster_role resource (#911),1.0,Add support for aggregation_rule to cluster_role resource (#911),,1
483,Add env_from to pod and replication_controller documention,0.514876,Do not set default namespace for replication controller and deployment pod templates (#275)," Remove website and website-test Makefile targets. Add new targets for linting website (and _test.go files). Add link-check for website. Add markdown check for website. Remove unused errcheck target.   (We can use tfproviderlint once issue #887 is resolved). Fix all linting errors in website and _test.go files. Update Travis to run new make targets. Update Travis VM OS version.  Since the provider documentation has been migrated to the Terraform Registry, the Makefile targets 'website' and 'website-test' no longer serve a function, and instead cause CI failures. In place of these tests, the following checks have been added: * terrafmt * tfproviderdocs * misspell (for common spelling errors. Not a full spell-check). * markdownlint-cli * markdown-link-check",0
484,Fix failing test,0.6130036,Fix service test leaking ELBs (#947),,0
485,Update CRD structure assertions,0.5413356,"* Revert ""Filter well known labels and annotations"" (#1298)",,0
486,"Update examples for EKS, GKE, AKS (#1220)",0.68833315,Update EKS example to use two applies (#1260),,0
487,Remove default value of Job template's spec.backoff_limit,0.54347515,Allow 0 for backoff_limit on kubernetes_job (PR #632),,0
488,Update horizontal_pod_autoscaler.html.markdown,0.70263034,Support for custom metrics in horizontal_pod_autoscaler , Fix reported replica count when waiting for Deployment rollout,1
489,Update CHANGELOG.md for v2.7.1 release,0.8274108,Generating changelog for release-v2.19.0 from v2.18.1...,,1
490,Make more resource delete operations idempotent  (#1919),0.73539126,resource/kubernetes_persistent_volume: add additional validation on the delete operation to make it idempotent [GH-1935],,1
491,Ignore service account volumes with kube-api-access prefix (#1663),1.0,Ignore service account volumes with kube-api-access prefix (#1663),,1
492,Update module hashicorp/terraform-plugin-sdk to v1.3.0 (#677),0.7845124,Update terraform-plugin-go and terraform-plugin-sdk (#1551), Fix spurious forced replacement in empty_dir volume,1
493,Fix empty node_affinity / node_selector_term / match_expressions crash (#394),0.57451475,Don't force replacement StatefulSet / Deployment when affinity rule selectors change (#755),,0
494,Merge pull request #88 from terraform-providers/vendor-google-provider-1.2.0,0.54575187,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
495,Update changelog for v1.13.3 (#1033),0.78666425,Generating changelog for release-v2.19.0 from v2.18.1...,,1
496,Upgrade guide for 'kubernetes_manifest' resources. (#1340),0.74605024,Update kubernetes dependencies (#1574), Update README.md  Just a suggestion for making users aware that the alpha provider exists. We'll do the same in the registry description. Added the mention of a future merge plan (for those that ask) but feel free to drop if you are not comfortable with that :),1
497,Add binary_data attribute to kubernetes_secret (#1228),0.96319324,Datasource: kubernetes_secret: add binary_data attribute (#1285),,1
498,Merge pull request #469 from terraform-providers/renovate/github.com-vmihailenco-msgpack-4.x,0.6372138,Update terraform-plugin-go and terraform-plugin-sdk (#1551),,0
499,Cleanup after v1.11.2 release,0.52782464,"2.6.0 (October 19, 2021)",,0
500,vendor gcp auth plugin from client-go (#7),0.48110288,r/kubernetes_service: make spec.port block optional [GH-1856],,0
501,Add template_annotations field to kubernetes_annotations resource. (#1972),0.88545084,resource/kubernetes_annotations: Add a new attribute template_annotations. [GH-1972],,1
502,r/pod: Represent update-ability of spec correctly,0.5880018,Add support for readiness_gate on Pod spec (#811),,0
503,"Prerequisites for ""computed"" attributes acceptance test:",0.5807978,Update acceptance tests for tfproviderlint (#887), add projected volumes in pod_spec  fixes #818  Add 'projected' attribute to Pod docs  Co-authored-by: Alex Somesan alex.somesan@gmail.com,0
504,docs/stateful_set: add import section (#1287),0.99302965,* docs/stateful_set: add import section (#1287),,1
505,Force new resource when changing apiVersion or Kind (#1593),0.74805593,kubernetes_manifest resource force the re-creation of the resource when either apiVersion or kind attributes change (#1593),  Update Getting Started to Learn tutorials   remove note   Update link UTM ,1
506,Delay checking min Terraform version until we know we have kubernetes_manifest resources,0.7468318,Fix kubernetes_manifest Terraform version constraint causing error on 0.12/0.13 (#1345),Co-authored-by: benjamin-maynard 383838-github@ea.maynard.io,1
507,Update EKS test-infra (#1203),0.6485152,Fix service test leaking ELBs (#947),  fix: add termination_message_policy to container schema (closes #442)   Add ValidateFunc for termination_message_policy   Co-authored-by: Patrick Decat pdecat@gmail.com   Add termination_message_policy to pod schema documentation   fix: add tests for termination_message_policy   fix: test for termination_message_policy_override_as_fallback_to_lgs   fix: use Computed on FallbackToLogsOnError not Default   fix typo   Co-authored-by: Patrick Decat pdecat@gmail.com,0
508,updating service docs (#1148),0.753013,Improve docs for configuring the provider (#1132),,1
509,Go 1.13 introduced version validation with some specific requirements:,0.6252587,Add validations to service (#1273),Add volume_mode to PersistentVolume schema.,0
510,v1.8.1,0.62713695,"2.8.0 (February 09, 2022)","This commit adds a new resource: default_service_account. The resource allows users to ""adopt"" the Kubernetes-created default service account into Terraform. This enables Terraform to manage attributes of the default SA at install time, rather than requiring an import. For example, the addition of an image-pull secret or other secret can be added to the default SA at provisioning time.",0
511,Add TestAccKubernetesDeployment_with_share_process_namespace,0.57881814,* Fix assertion in TestAccKubernetesPersistentVolume_hostPath_nodeAffinty (#1067),Add size_limit for empty_dir in pod schema.,0
