Index,Commit Message,Score,Correspond Changelog Sentence,Commit Description,Class
3010,Fix makefile comment,0.44702774,plugin/helm: Add support for create_namespace and skip_crds (default is now false) [GH-3950],"use %q over \""%s\"" Co-authored-by: Brian Cain bcain@hashicorp.com",0
3011,Inject the CEB into pack and docker builders by default,0.6319286,"plugin/docker: Add Docker auth support for builder and platform, and add config options for",,0
3012,plugin/nomad: only use non-empty job.StatusDescription for HealthMessage,0.9606192,plugin/nomad: Only use non-empty job.StatusDescription for HealthMessage [GH-2093],- add tests,1
3013,internal/server/proto: add deploy url preload,0.6581521,Introduce executing Trigger URL configurations via HTTP. Users can,,0
3014,Merge pull request #3993 from hashicorp/externalize_jobs,0.48198688,core: Fix out of order job ids for waypoint pipeline run job stream CLI. [GH-3946],,0
3015,Merge pull request #3761 from hashicorp/b-nomad-install-args,0.6284229,the Nomad server install. [GH-4363],builtin/k8s: Ensure pod.container.static_environment is applied,0
3016,Merge pull request #334 from hashicorp/b-kubectl-cleanup,0.60563177,server: fix issue cleaning up tasks in Kubernetes that completed successfully [GH-3299],cli: Pass context to Bootstrapped in server_run,0
3017,website: fix link from input vars to “literal expressions”,0.45049924,cli: Fix issue parsing string slice inputs [GH-1669],ui/mirage: set version to [Mirage] in VersionInfo handler,0
3018,externalize service pipeline errors,0.5703726,  waypoint pipeline run. [GH-4319],,0
3019,internal/cli: fix help output,0.7748194,cli: Fix issue where the CLI would exit with no error or action taken if a local,,1
3020,Merge pull request #2829 from hashicorp/ac.home-redirect,0.48061556,existing server image is hashicorp/waypoint:latest [GH-3820],"If the most recently created deployment is running, and you attempt waypoint release, prior to this we would attempt to release that unfinished depoyment, and panic downstream in argmapper. With this change, it's still possible for waypoint release (with no deployment targeting flag) to pick a running deployment, but at least the user will have a hint as to what has happened and can choose a different deploy to release, or wait, or delete the stuck running deployment.",0
3021,auto-updated internal/server/gen/bindata_ui.go from commit e999b07b,0.56588143,upgrade: Fixes a bug where pre-v0.10.4 config sources could not be updated or,Makefile: Add make targets for running full state and service tests,0
3022,cli/serverinstall: Add On-Demand runner config to server install,0.70167255,cli/serverinstall/nomad: Add service discovery provider configuration,,1
3023,Add more logging in service runner,0.69912624,core: improve runner job stream error logging [GH-3872],,0
3024,fix pipeline list project scoping,0.6815492,cli: Fix panic in waypoint pipeline list and waypoint pipeline inspect where,builtin/k8s: Fix use example in docs,0
3025,gen proto,0.4059813,core: git cloning now supports recursively cloning submodules [GH-3351],Restructure tools/tools.go to prevent gofmt issue,0
3026,"ui: add mirage/types, declare RouteHandler properly",0.51093644,"plugin/aws/ecs: Route 53 ""A"" Type record properly created when not found for domain name [GH-1256]",This commit adds two makefile target helpers for running the full test suite for both boltdbstate and the service API functions.,0
3027,Merge pull request #3391 from hashicorp/dependabot/npm_and_yarn/ui/hashicorp/ember-flight-icons-2.0.6,0.5097563,plugin/alb: Handle DuplicateListener errors from aws-alb releaser [GH-3035],,0
3028,Merge pull request #2779 from hashicorp/late-start-local-runner,0.5266764,"runner: Adds ondemand runners, single job runner processes launched via the task API [GH-2056]",internal/server: Set correct bucket var for runnerIndexInit,0
3029,Add a warning to nomad server install about ephemeral addresses.,0.66448987,the Nomad server install. [GH-4363],,0
3030,Merge pull request #1331 from hashicorp/ui-tests-cleanup,0.55940163,server: fix issue cleaning up tasks in Kubernetes that completed successfully [GH-3299],"Prior to this commit, if the server ever restarted, the runner db would fail to parse the correct bucket in the server. This also means server upgrades would fail with an invalid wire format. This commit fixes that by ensuring the runner init uses the proper runner bucket. Fixes #3192",0
3031,fixup 0cce24c45,0.62727404,cli/snapshot: Fix server snapshot when a config source is set. [GH-4523],,0
3032,Merge pull request #477 from hashicorp/docs-action-experiment,0.4268929,plugin/aws: Add ability to pass IAM policy ARNs for attaching to task role [GH-1935],,0
3033,Only target a release for a status report if implemented,0.6279307,Status reports: server: Continuously generate a status report for an application after the initial,,0
3034,Merge pull request #1992 from radriaanse/1969-docker-target,0.50739306,docker-pull auth and registry auth [GH-2895],,0
3035,"Fix insecure registry access, don't upload the entrypoint when disabled",0.5945765,plugin/docker: fix issue with authenticating with registries when using,"Without the context argument, the casting always failed and we’d never show the prompt with the bootstrap command.",0
3036,ui: de-lint routes/onboarding/linux/index.ts,0.46190038,entrypoint: dump a memory profile to /tmp on SIGUSR1 [GH-1194],Consumable job service handlers,0
3037,Merge pull request #2474 from hashicorp/ui/favicon-update,0.49470294,ui: fix missing link on release detail page [GH-3142],,0
3038,internal/cli: config commands should reuse main -app flag,0.6829529,cli: requires -app flag if config set -scope=app is set [GH-3040],and typos,0
3039,plugin/packer: Docs formatting.,0.68981314,plugin/docker: Add support for multi-stage Dockerfile builds [GH-1992],Web docs/sensitive vars,0
3040,Merge pull request #3883 from hashicorp/b-nomad-plugin-fixes,0.6250174,plugin/nomad: Update Nomad task launcher plugin to use entrypoint config - fixes,,0
3041,update circleci config syntax per error messages,0.53748673,cli: Enhance warning for project flag mismatches when project parsed from config [GH-2815],,0
3042,"sdk/terminal: disable autowrap, it doesn't seem to work right",0.49908152,"plugin/k8s: Introduce a new config option autoscale, which creates a horizontal",,0
3043,ci: setup basic circle tests (#3),0.45308667,cli/fmt: Add a -check flag that will determine if the waypoint.hcl is already,"We now have three different ""modes"" for reading logs: 1: Reading live, streaming logs for a running job 2: Reading buffered logs for a live, running job (client connected after job started sending) 3: Reading logs for a job that has already completed. Other server implementations do different things in these these three modes - specifically reading completed logs - they may need to pull those from persistent storage. This change implements ReadComplete in the server by reading from memory.",0
3044,Update plugin doc to explain how to extend the ODR image for custom plugins.,0.6597752,plugin/docker: Add support for multi-stage Dockerfile builds [GH-1992],,0
3045,More detailed tests,0.43585023,DEPRECATIONS:,,0
3046,Tuning logs and errors,0.6709465,ui: output failed build errors in logs [GH-1280],,0
3047,internal/cli: login overwrites default context if it matches,0.5757749,cli/login: Allow login from-kubernetes command to work with non-default namespace installations [GH-2575],,0
3048,internal/ceb: comment,0.45302922,cli: Introduce a new CLI command for job management and inspection,,0
3049,Error if server context and requested platform flag conflict,0.6040685,"cli/uninstall: Remove hard requirement on platform flag, attempt to read server platform from server context. Platform flag overrides anything set in a server platform context [GH-2052]",,0
3050,internal/server/state: initialize blocked state properly,0.56652474,internal/server: Block on instance deployment becoming available [GH-881],,0
3051,internal/core/app_release: Ensure unimplemented is set in Release,0.49043334,cli: requires -app flag if config set -scope=app is set [GH-3040],This is mainly to help us tell Mirage screenshots from “real” screenshots but also because I didn’t want to invest time into making the value update dynamically.,0
3052,Merge pull request #1926 from hashicorp/ui/de-lint-services,0.47168273,"Application config syncing with Kubernetes (ConfigMaps), Vault, Consul, and AWS SSM;",,0
3053,internal/server: EntrypointExecStream theoretical implementation,0.55871916,server/ecs: Use --platform=ecs to install waypoint server to, Update links in ResourcesTableExtended component,0
3054,Merge pull request #845 from briancain/f-contrib-serverinstall-k8s,0.647513,serverinstall/k8s: Accept k8s-namespace when uninstalling server [GH-1730],"cli: Sort uncomplete jobs as ""latest""",0
3055,set refApp on cmd for each app func,0.52254844,cli: Update base commands to default to all apps within the project if project has more than one application [GH-2413],"Prior to this commit, when the job list CLI would sort on Complete time, jobs with a nil complete time would be sorted as ""oldest"". Really as a user you would expect these to show up as ""latest"" with no complete time field set. This commit fixes the original behavior to make these jobs show up at the beginning when there is no complete time set.",0
3056,Merge pull request #3810 from hashicorp/b-remove-hcl-required,0.4991206,"cli/uninstall: Remove hard requirement on platform flag, attempt to read server platform from server context. Platform flag overrides anything set in a server platform context [GH-2052]",ci: Only notify PR check failures if website/content has changes,0
3057,Merge pull request #4363 from hashicorp/b-nomad-consul-install,0.6341702,the Nomad server install. [GH-4363],"Prior to this commit, any changes at all from running make gen/website-mdx would notify a failure. This is extra tricky because npm and lock files might change which causes git diff to notify the PR that a failure occured. In reality, this check was only to tell the PR author that they needed to run make gen/website-mdx to generate CLI docs automatically. This commit updates that behavior to only check a git diff in the website/content folder, where the auto generated docs live.",0
3058,Merge pull request #3420 from hashicorp/feat/add-watchtask-to-job,0.60938895,"core: Update TaskCancel to also cancel WatchTask job, if it was launched. [GH-3893]",Delete job and pods in k8s StopTask if stuck in pending,0
